comX;comY;triangles;projected area;visible area;symmetry;visble edges
0,9999999;0,596758;0,9986352;0,9911931;0,00341963;0,0006501675;0
0,267988;0,596758;0,9934491;0,7450313;0,0205178;0,305211;0
2,384186E-07;0,596758;0,9856699;0,07364182;0,01795308;0,3834268;0,006620189
0,267988;0,596758;0,6490074;0,757951;0,6595942;0,3051904;0,0048821
1;0,596758;0;1;0,6264084;0;0,006496591
0,2679881;0,596758;0,6490074;0,7557223;0,6595942;0,306529;0,004549931
2,384186E-07;0,596758;0,9856699;0,08240563;0,01795308;0,3749737;0,008962747
0,2679878;0,596758;0,9934491;0,757951;0,0205178;0,302395;0,01034356
1;0,9628077;0,835522;0,7774704;0,6696976;0,5245833;0,01134007
0,4406055;0,7318983;0,8522993;0,6242544;0,6939069;0,7845922;0,003228984
0,2441178;0,7318983;0,9856699;0,07829288;0,01795308;0,8453677;0,00938182
0,440605;0,7318982;0,6850585;0,6253741;0,6904871;0,7636759;0,007875475
0,9999999;0,7318982;0,6452233;0,7774704;0,6667053;0,4858152;0,009331608
0,4406053;0,7318983;0,7103653;0,6242544;0,9978627;0,7641983;0,003228984
0,2441177;0,7318983;0,9856699;0,07829288;0,01795308;0,8453677;0,011342
0,4406052;0,7318982;0,8004497;0,6253741;1;0,7823011;0,005894054
0,9999997;1,056519;0,6957107;0,1058763;0,6671328;0,6309541;0,01169927
0,9999997;0,981945;0,7990863;0,194957;0,6921971;0,5258309;0,004540275
1;0,9819451;0,9856699;0,08170582;0,01795308;0,4481611;0,01169927
0,9999997;0,9819449;0,6022642;0,1949678;0,9965803;0,5650709;0,005894054
0,9999999;0,981945;0,6957107;0,1058763;0,6671328;0,6309541;0,01169541
0,9999999;0,981945;0,7990863;0,1949678;0,6921971;0,526336;0,004540275
1;0,9819451;0,9856699;0,08170582;0,01795308;0,4481611;0,01169541
0,9999997;0,981945;0,6022642;0,194957;0,9965803;0,5630014;0,007860026
0,9999997;0,6573242;0,6452233;0,7771904;0,6667053;0,486119;0,009356714
0,4406052;0,7318983;0,7103653;0,6249112;0,9978627;0,7638527;0,003228984
0,2441177;0,7318982;0,9856699;0,07829288;0,01795308;0,8454282;0,01124544
0,4406052;0,7318982;0,8004497;0,6237807;1;0,7819509;0,0102161
0,9999999;0,7318982;0,835522;0,7771904;0,6696976;0,5263975;0,01122999
0,440605;0,7318983;0,8522993;0,6249112;0,6939069;0,7828279;0,003228984
0,2441177;0,7318982;0,9856699;0,07829288;0,01795308;0,8454282;0,009304571
0,4406052;0,7318982;0,6850584;0,6237807;0,6904871;0,7642166;0,0048821
1;0,3658486;0;1;0,6264084;0;0,006620189
0,267988;0,596758;0,6490074;0,757951;0,6595942;0,3115867;0,004549931
2,384186E-07;0,596758;0,9856699;0,08240563;0,01795308;0,3927838;0,008933779
0,267988;0,596758;0,9934491;0,7557331;0,0205178;0,3106452;0,005453738
0,9999999;0,596416;0,9986352;1;0,00341963;0,003260136;0,008962747
0,2679881;0,5968806;0,9934491;0,757951;0,0205178;0,3068604;0,004549931
2,384186E-07;0,596758;0,9856699;0,08240563;0,01795308;0,3927838;0,006515903
0,2679709;0,5964161;0,6490074;0,7560561;0,6595942;0,3128614;0,003872077
1;0,2320485;0,9986352;0,9928727;0,00341963;0,6277551;0,01136903
0,2407932;0,2319263;0,8522993;0,8075622;0,6939069;0,7434043;0,01171858
0;0,2319262;0,7990863;0,2018044;0,6921971;0,4948623;0,009196423
0,2407928;0,231926;0,7103653;0,8089834;0,9978627;0,7527774;0,003453004
0,9999999;0,2319261;0;0,9928727;0,6264084;0,6277551;0,009113382
0,2407931;0,2319261;0,7103653;0,8075622;0,9978627;0,7543797;0,01171858
5,960464E-08;0,2319262;0,7990863;0,2018044;0,6921971;0,4953374;0,0113111
0,2407931;0,2319262;0,8522993;0,8089834;0,6939069;0,749407;0,01137869
0,9999968;0,7078836;0,8004497;0,8080898;1;0,7488454;0,01136131
0,4598361;0,4759576;0,835522;0,6095152;0,6696976;0,8718951;0,008308067
0,2407959;0,4759576;0,7990863;0,1859456;0,6921971;0,9723851;0,008644097
0,4359689;0,4759576;0,6490074;0,5951853;0,6595942;0,8098655;0,009227322
0,9999968;0,4759576;0,6850585;0,8080898;0,6904871;0,7539129;0,009200286
0,4598356;0,4759576;0,6957107;0,6095152;0,6671327;0,8570373;0,008308067
0,240796;0,4759575;0,7990863;0,1859456;0,6921971;0,9723851;0,01055213
0,4359688;0,4759576;0,9934491;0,5951853;0,0205178;0,808358;0,009088276
0,9999891;0,4759574;0,6850584;0,8069378;0,6904871;0,7554449;0,009418513
0,4598435;0,4759574;0,6957107;0,6132727;0,6671328;0,8581846;0,008308067
0,240796;0,4759575;0,7990863;0,1859564;0,6921971;0,9712403;0,01058496
0,4359688;0,4759574;0,9934491;0,5947331;0,0205178;0,8084229;0,01129951
0,9999967;0,4759576;0,8004497;0,8069378;1;0,7449838;0,01123964
0,4598355;0,4759576;0,835522;0,613262;0,6696976;0,8718552;0,008308067
0,2407959;0,4759574;0,7990863;0,1859564;0,6921971;0,9712403;0,008638304
0,4359685;0,4759576;0,6490074;0,5947331;0,6595942;0,8096051;0,003453004
0,9999999;0;0;0,9928727;0,6264084;0,6277551;0,009196423
0,240793;0,2319261;0,7103653;0,8089834;0,9978627;0,7526138;0,01171858
5,960464E-08;0,2319259;0,7990863;0,2018044;0,6921971;0,4953374;0,01136903
0,2407931;0,2319261;0,8522993;0,8075622;0,6939069;0,7435439;0,003872077
0,9999999;0,2319261;0,9986352;0,9928727;0,00341963;0,6277551;0,0113111
0,2407931;0,2319261;0,8522993;0,8089834;0,6939069;0,7494397;0,01171858
5,960464E-08;0,2319259;0,7990863;0,2018044;0,6921971;0,4953374;0,009113382
0,2407932;0,2319261;0,7103653;0,8075622;0,9978627;0,7545775;0,005411251
0,9999999;0,3170215;0,9986352;0,9979975;0,00341963;0,003468096;0,0103397
0,2441177;0,3170215;0,835522;0,7792683;0,6696976;0,523017;0,005909503
0;0,3170214;0,6957107;0,1104412;0,6671328;0,6237359;0,007871613
0,2441177;0,3170215;0,6452233;0,7789884;0,6667053;0,4836978;0,0048821
0,9999999;0,3170215;0;0,9979975;0,6264084;0;0,007887063
0,2441177;0,3170215;0,6452233;0,7792683;0,6667053;0,4839156;0,005909503
0;0,3170214;0,6957107;0,1104412;0,6671328;0,6237359;0,01022769
0,2441179;0,3170214;0,835522;0,7789884;0,6696976;0,5241249;0,008373728
0,9999999;0,7431283;0,9934491;0,7559161;0,0205178;0,3167306;0,01130144
0,4336141;0,5195107;0,8004497;0,6323722;1;0,8427399;0,004179139
0,267988;0,5195109;0,6957107;0,1021727;0,6671328;0,9918227;0,009561422
0,4336139;0,5195107;0,7343878;0,63192;0,9982901;0,8238037;0,006614395
0,9999999;0,5195108;0,6490074;0,7559268;0,6595942;0,3153946;0,009584596
0,4336141;0,5195108;0,6850585;0,6323722;0,6904871;0,8238153;0,004179139
0,267988;0,5195109;0,6957107;0,1021727;0,6671328;0,9918227;0,01122613
0,4336139;0,5195107;0,8522993;0,63192;0,6939069;0,843224;0,006506247
0,9999999;0,5195109;0,6490074;0,7538812;0,6595942;0,3164322;0,009476449
0,4336138;0,5195109;0,6850584;0,6303266;0,6904871;0,8233373;0,004179139
0,2679882;0,5195109;0,6957107;0,1021727;0,6671328;0,991927;0,01130144
0,4336138;0,5195109;0,8522993;0,6307788;0,6939069;0,8438171;0,008333173
0,9999999;0,5195108;0,9934491;0,753892;0,0205178;0,320383;0,01123192
0,4336141;0,5195109;0,8004497;0,6303266;1;0,8438859;0,004179139
0,2679882;0,5195109;0,6957107;0,1021727;0,6671328;0,991927;0,009499623
0,4336141;0,5195108;0,7343878;0,6307788;0,9982901;0,8234373;0,0048821
0,9999999;0,09340405;0;0,9979975;0,6264084;0;0,007871613
0,2441179;0,3170214;0,6452233;0,7789884;0,6667053;0,4836978;0,005909503
0;0,3170214;0,6957107;0,1104412;0,6671328;0,6237359;0,0103397
0,2441177;0,3170215;0,835522;0,7792683;0,6696976;0,5231103;0,005411251
0,9999999;0,3170215;0,9986352;0,9979975;0,00341963;0,003468096;0,01022769
0,2441177;0,3170214;0,835522;0,7789884;0,6696976;0,5241871;0,005909503
0;0,3170214;0,6957107;0,1104412;0,6671328;0,6237359;0,007887063
0,2441179;0,3170214;0,6452233;0,7792683;0,6667053;0,4839156;0,01137869
1;0,3952159;0,01942754;0,9894783;0,8757636;0,4576155;0
0,8766176;0;0,0194273;0,9874226;0,4378819;0,0003433824;0,003337131
1;0,3705149;0,00926739;0,996592;0,9954424;0,004436612;0,003337131
