comX;comY;triangles;projected area;visible area;symmetry;visble edges
0,769491;0,7902036;0,6967543;0,4663931;0,208405;0,7878479;0
0,7476428;0,7902034;0,3877918;0,4771897;0,4608093;0,8712965;0
0,9999998;0,7902035;0,1593222;0,2951606;0,6327783;0,5379817;0,0116394
0,7476428;0,7902035;0,477147;0,5011038;0,4619953;0,8516815;0,006479211
0,7694912;0,7902035;0,6934176;0,4820857;0,2106981;0,8045156;0,01208165
0,7476431;0,7902035;0,3389581;0,4979199;0,3893998;0,8294605;0,006890558
0,9999998;0,7902035;0,1593219;0,3023065;0,6327786;0,5384271;0,01213959
0,7476428;0,7902035;0,4679585;0,5011038;0,4178794;0,7761963;0,007846507
0,7694912;0,8748074;0,8356113;0,8142776;0,1452546;0,4795535;0,00971785
0,5571823;0,7589337;0,614266;0,7477571;0,4292013;0,873978;0,004538344
0,07468152;0,7589338;0,4867143;0,2992783;0,7391048;0,9839066;0,01156409
0,09020412;0,7589338;0,5442192;0,8143201;0,7457963;0,8420643;0,009269809
0,7694912;0,7589337;0,8863555;0,8142776;0,1152934;0,4508335;0,01170507
0,5571823;0,7589338;0,422048;0,7477571;0,8889632;0,8271828;0,004912999
0,0746814;0,7589337;0,4867142;0,2995047;0,739105;0,9839129;0,01019679
0,09020442;0,7589337;0,2513056;0,8143201;0,784059;0,8659276;0,005530986
0,7694913;0,3432774;0,2692614;1;0,5261129;0,000413835;0,008470288
0,602954;0,5039907;0,4647394;0,8586953;0,6831626;0,2522935;0,006380719
0,3121141;0,5039907;0,1593222;0,3067355;0,6327783;0,5504669;0,01053089
0,350597;0,5039908;0,5472214;0,9027169;0,7408838;0,1953967;0,005088739
0,7694914;0,5039908;0,6720544;1;0,3112391;0,005681098;0,01073367
0,6029541;0,5039907;0,5448134;0,8586953;0,6852381;0,3079472;0,006898283
0,3121142;0,5039907;0,1593219;0,3067355;0,6327786;0,5505774;0,008953091
0,3505968;0,5039907;0,3488331;0,9027169;0,5540639;0,160571;0,007871613
0,769491;0,05427086;0,6066192;0,8163152;0,347593;0,4805458;0,009771924
0,5571828;0,2149843;0,6482809;0,7492854;0,4258846;0,8747702;0,004538344
0,07468128;0,2149843;0,4867143;0,2992783;0,7391048;0,9847401;0,01157181
0,09020388;0,2149843;0,4284685;0,8158766;0,9539037;0,8416433;0,009316158
0,769491;0,2149843;0,8921831;0,8163152;0,1058528;0,4482889;0,01172438
0,5571828;0,2149844;0,5492476;0,7492854;0,6785628;0,8307845;0,004912999
0,07468152;0,2149844;0,4867142;0,2994906;0,739105;0,9847583;0,01026245
0,09020424;0,2149843;0,3542819;0,8158766;0,5705595;0,8666017;0,006479211
0,7694911;0,5017029;0,6934176;0,4820857;0,2106981;0,8009642;0,0116394
0,7476428;0,3858293;0,477147;0,5011038;0,4619953;0,8465529;0,006357544
0,9999999;0,3858294;0,1593222;0,3023065;0,6327783;0,5344271;0,0116394
0,7476429;0,3858294;0,3877918;0,4979199;0,4608093;0,8991398;0,006479211
0,7694911;0,3858294;0,6967543;0,4820857;0,208405;0,8009642;0,01213959
0,7476429;0,3858294;0,4679585;0,5011038;0,4178794;0,7683376;0,006890558
1;0,3858294;0,1593219;0,3023065;0,6327786;0,5344667;0,01208165
0,747643;0,3858294;0,3389581;0,4979199;0,3893998;0,821192;0,004600143
0,3505968;0,7906704;0,7673548;0,4759445;0,281702;0,8943042;0,0094301
0,1316593;0,6662159;0,6048413;0,738234;0,413824;0,8148698;0,008412352
0,9999998;0,6662159;0,4647394;0,8529078;0,6831626;0,2488115;0,009468724
0,131659;0,6662159;0,6431372;0,7393094;0,4087554;0,8101031;0,004600143
0,3505968;0,6662159;0,7654505;0,4759445;0,2916837;0,8943042;0,01198509
0,1316591;0,6662159;0;0,738234;0,7527002;0,7372395;0,01075491
0,9999999;0,6662159;0,5448134;0,8528937;0,6852381;0,2976392;0,01195612
0,1316593;0,6662158;0,2462509;0,7393094;0,5426798;0,7379189;0,009864622
0,3505905;0,5933515;0,6253091;0,8130183;0,3433408;0,8538806;0,008721346
0,4899898;0,5488625;0,8365551;0,9240271;0,1497696;0,7176591;0,006587358
0,4885326;0,5488626;0,4647394;0,8535305;0,6831626;0,744256;0,01115274
0,02050996;0,5488625;0,4823375;0,546611;0,457409;0,9560027;0,01160657
0,3505908;0,5488625;0,5064468;0,8130183;0,6945389;0,7298917;0,01028369
0,4899899;0,5488625;0,8921831;0,9240271;0,1058528;0,5748376;0,008458701
0,4885327;0,5488626;0,5370011;0,8535305;0,6363901;0,7008078;0,01212414
0,02050972;0,5488625;0,517894;0,546611;0,7888723;0,9566826;0,009918696
0,3505906;0;0,5814333;0,8141927;0,3424513;0,8537919;0,008767695
0,4899904;0,2482073;0,8409696;0,9239281;0,1457245;0,7180225;0,006587358
0,4885323;0,2482073;0,4647394;0,8535446;0,6831626;0,7441002;0,01120874
0,02050972;0,2482074;0,3938849;0,5481958;0,456223;0,954993;0,01161816
0,3505905;0,2482074;0,3625692;0,8141927;0,8970067;0,7352117;0,01025473
0,4899905;0,2482072;0,8921831;0,9239281;0,1058528;0,5773988;0,008458701
0,4885322;0,2482074;0,5370011;0,8535446;0,6363901;0,6991293;0,01219173
0,02050972;0,2482073;0,3498583;0,5481958;1;0,9537933;0,004600143
0,350597;0,4773012;0,7654505;0,4759445;0,2916837;0,893705;0,009468724
0,131659;0,4328122;0,6431372;0,7393094;0,4087554;0,8107834;0,008412352
0,9999999;0,4328123;0,4647394;0,8529078;0,6831626;0,248665;0,0094301
0,1316591;0,4328122;0,6048413;0,738234;0,413824;0,8150989;0,004600143
0,3505968;0,4328122;0,7673548;0,4759445;0,281702;0,893705;0,01195612
0,1316592;0,4328122;0,2462509;0,7393094;0,5426798;0,7391122;0,01075491
0,9999999;0,4328122;0,5448134;0,8528937;0,6852381;0,2971265;0,01198509
0,1316588;0,4328122;0;0,738234;0,7527002;0,7385001;0,006469554
0,3121145;0,7190101;0,6967543;0,4780954;0,208405;0,8005654;0,007861957
0,0746814;0,6022496;0,8356113;0,8146172;0,1452546;0,4828507;0,005519399
0,9999999;0,6022496;0,2692614;0,9979482;0,5261129;0;0,007904444
0,07468128;0,6022496;0,6066192;0,8168812;0,347593;0,4827997;0,006469554
0,3121144;0,6022496;0,6934176;0,4780954;0,2106981;0,8005654;0,009459068
0,0746811;0,6022496;0,8863555;0,8146172;0,1152934;0,4556627;0,00510612
0,9999999;0,6022496;0,6720544;0,9979482;0,3112391;0,005866468;0,009509279
0,07468128;0,6022497;0,8921831;0,8168812;0,1058528;0,4533773;0,012128
0,3121143;0,3308707;0,4679585;0,4963634;0,4178794;0,7831218;0,01004229
2,384186E-07;0,3680165;0,6117672;0,9343145;0,3430443;0,7482916;0,004331705
0,7476429;0,3680165;0,2692614;0,998033;0,5261129;0,5553432;0,009928352
0,2268566;0,3680165;0,6482809;0,8523701;0,4258846;0,7489718;0,01165099
0,3121141;0,3680164;0,477147;0,4963634;0,4619953;0,8579344;0,01165099
0;0,3680165;0,5429564;0,9343145;0,6880336;0,6758341;0,004200382
0,7476429;0,3680165;0,8974244;0,998033;0,09399315;0,5551591;0,01172631
0,2268566;0,3680165;0,5316225;0,8523701;0,6131268;0,6923433;0,01207393
0,3121141;0,5163649;0,3389581;0,4955568;0,3893998;0,7953225;0,01013885
2,384186E-07;0,5163649;0,5814333;0,9361398;0,3424513;0,7471106;0,004331705
0,7476428;0,5163649;0,2692614;0,998033;0,5261129;0,5560317;0,009833722
0,2268569;0,5163649;0,614266;0,8504599;0,4292013;0,7516204;0,01167996
0,312114;0,5163649;0,3877918;0,4955568;0,4608093;0,8714119;0,01159885
0;0,5163649;0,4180697;0,9361398;0,8950825;0,673474;0,004202314
0,7476428;0,5163649;0,8974244;0,998033;0,09399315;0,5557558;0,01177845
0,2268566;0,5163649;0,3848124;0,8504599;0,8254402;0,6846936;0,006469554
0,3120016;0,7004803;0,6934176;0,4780954;0,2106981;0,7999499;0,007904444
0,07468086;0,7377802;0,6066192;0,8168812;0,347593;0,4771449;0,005519399
0,9999999;0,7377545;0,2692614;0,9979482;0,5261129;0;0,007861957
0,07468122;0,7377544;0,8356113;0,8146172;0,1452546;0,4774779;0,006469554
0,3121144;0,7377545;0,6967543;0,4780954;0,208405;0,8000553;0,009509279
0,07468122;0,7377544;0,8921831;0,8168812;0,1058528;0,4498787;0,00510612
0,9999999;0,7377544;0,6720544;0,9979482;0,3112391;0,006000161;0,009459068
0,0746811;0,7377544;0,8863555;0,8146172;0,1152934;0,4523991;0,01159885
