comX;comY;triangles;projected area;visible area;symmetry;visble edges
-2,980232E-08;0,5583553;0,001249999;0,7111798;0,002170713;0,9993498;0
0,3096354;0,5583553;0,006000002;0,534559;0,01302429;0,694789;0
0,4229922;0,5583553;0,01312501;0,05283791;0,01139626;0,6165732;0,006620189
0,3096355;0,5583553;0,3214742;0,5438288;0,4186973;0,6948096;0,0048821
0;0,5583553;0,9159002;0,7174987;0,3976316;1;0,006496591
-0,3096354;0,5583553;0,3214742;0,5422298;0,4186973;0,693471;0,004549931
-0,4229922;0,5583552;0,01312501;0,05912593;0,01139626;0,6250263;0,008962747
-0,3096355;0,5583553;0,006000002;0,5438288;0,01302429;0,697605;0,01034356
0;0,05149889;0,1506454;0,557834;0,4251107;0,4754167;0,01134007
0,2366196;0,3712312;0,135279;0,4479017;0,4404783;0,2154078;0,003228984
0,3197324;0,3712312;0,01312501;0,05617505;0,01139626;0,1546323;0,00938182
0,2366198;0,3712312;0,288455;0,4487051;0,4383075;0,2363241;0,007875475
5,960464E-08;0,3712313;0,3249401;0,557834;0,4232113;0,5141848;0,009331608
-0,2366197;0,3712312;0,2652765;0,4479017;0,6334234;0,2358017;0,003228984
-0,3197324;0,3712312;0,01312501;0,05617505;0,01139626;0,1546323;0,011342
-0,2366197;0,3712313;0,1827682;0,4487051;0,6347801;0,2176989;0,005894054
-1,192093E-07;-0,07825986;0,2786987;0,07596609;0,4234826;0,3690459;0,01169927
-1,192093E-07;0,02500007;0,1840169;0,1398814;0,4393929;0,4741691;0,004540275
0;0,02500001;0,01312501;0,05862382;0,01139626;0,5518389;0,01169927
1,192093E-07;0,02500021;0,3642864;0,1398892;0,6326094;0,4349291;0,005894054
5,960464E-08;0,0250001;0,2786987;0,07596609;0,4234826;0,3690459;0,01169541
5,960464E-08;0,0250001;0,1840169;0,1398892;0,4393929;0,473664;0,004540275
0;0,02499998;0,01312501;0,05862382;0,01139626;0,5518389;0,01169541
-1,192093E-07;0,0250001;0,3642864;0,1398814;0,6326094;0,4369986;0,007860026
-1,192093E-07;0,4744914;0,3249401;0,5576331;0,4232113;0,513881;0,009356714
-0,2366197;0,3712311;0,2652765;0,448373;0,6334234;0,2361473;0,003228984
-0,3197324;0,3712314;0,01312501;0,05617505;0,01139626;0,1545718;0,01124544
-0,2366197;0,3712313;0,1827682;0,4475619;0,6347801;0,2180491;0,0102161
5,960464E-08;0,3712314;0,1506454;0,5576331;0,4251107;0,4736025;0,01122999
0,2366198;0,3712311;0,135279;0,448373;0,4404783;0,2171721;0,003228984
0,3197324;0,3712314;0,01312501;0,05617505;0,01139626;0,1545718;0,009304571
0,2366197;0,3712313;0,2884551;0,4475619;0,4383075;0,2357834;0,0048821
0;0,8780876;0,9159002;0,7174987;0,3976316;1;0,006620189
-0,3096355;0,5583553;0,3214742;0,5438288;0,4186973;0,6884133;0,004549931
-0,4229922;0,5583553;0,01312501;0,05912593;0,01139626;0,6072162;0,008933779
-0,3096355;0,5583553;0,006000002;0,5422375;0,01302429;0,6893548;0,005453738
5,960464E-08;0,5588289;0,001249999;0,7174987;0,002170713;0,9967399;0,008962747
0,3096354;0,5581856;0,006000002;0,5438288;0,01302429;0,6931396;0,004549931
0,4229922;0,5583553;0,01312501;0,05912593;0,01139626;0,6072162;0,006515903
0,3096427;0,5588287;0,3214742;0,5424693;0,4186973;0,6871386;0,003872077
0;1,063356;0,001249999;0,7123849;0,002170713;0,3722449;0,01136903
0,3211386;1,063525;0,135279;0,5794249;0,4404783;0,2565957;0,01171858
0,4229923;1,063525;0,1840169;0,1447944;0,4393929;0,5051377;0,009196423
0,3211388;1,063526;0,2652765;0,5804446;0,6334234;0,2472226;0,003453004
5,960464E-08;1,063525;0,9159002;0,7123849;0,3976316;0,3722449;0,009113382
-0,3211387;1,063525;0,2652765;0,5794249;0,6334234;0,2456202;0,01171858
-0,4229923;1,063525;0,1840169;0,1447944;0,4393929;0,5046626;0,0113111
-0,3211387;1,063525;0,135279;0,5804446;0,4404783;0,250593;0,01137869
1,370907E-06;0,4044836;0,1827682;0,5798034;0,6347801;0,2511546;0,01136131
0,2284852;0,7256234;0,1506454;0,4373264;0,4251107;0,1281049;0,008308067
0,3211375;0,7256234;0,1840169;0,1334157;0,4393929;0,02761489;0,008644097
0,2385808;0,7256235;0,3214742;0,4270447;0,4186973;0,1901345;0,009227322
-1,341105E-06;0,7256235;0,288455;0,5798034;0,4383075;0,2460871;0,009200286
-0,2284854;0,7256234;0,2786986;0,4373264;0,4234826;0,1429627;0,008308067
-0,3211375;0,7256236;0,1840169;0,1334157;0,4393929;0,02761489;0,01055213
-0,2385809;0,7256234;0,006000002;0,4270447;0,01302429;0,191642;0,009088276
4,61936E-06;0,7256237;0,2884551;0,5789769;0,4383075;0,2445551;0,009418513
-0,228482;0,7256237;0,2786987;0,4400224;0,4234826;0,1418155;0,008308067
-0,3211375;0,7256236;0,1840169;0,1334235;0,4393929;0,02875968;0,01058496
-0,2385809;0,7256237;0,006000002;0,4267202;0,01302429;0,1915771;0,01129951
1,400709E-06;0,7256235;0,1827682;0,5789769;0,6347801;0,2550162;0,01123964
0,2284854;0,7256235;0,1506454;0,4400147;0,4251107;0,1281448;0,008308067
0,3211375;0,7256237;0,1840169;0,1334235;0,4393929;0,02875968;0,008638304
0,238581;0,7256235;0,3214742;0,4267202;0,4186973;0,1903949;0,003453004
2,980232E-08;1,384665;0,9159002;0,7123849;0,3976316;0,3722449;0,009196423
-0,3211387;1,063525;0,2652765;0,5804446;0,6334234;0,2473862;0,01171858
-0,4229923;1,063526;0,1840169;0,1447944;0,4393929;0,5046626;0,01136903
-0,3211387;1,063525;0,135279;0,5794249;0,4404783;0,2564561;0,003872077
5,960464E-08;1,063525;0,001249999;0,7123849;0,002170713;0,3722449;0,0113111
0,3211387;1,063525;0,135279;0,5804446;0,4404783;0,2505603;0,01171858
0,4229923;1,063526;0,1840169;0,1447944;0,4393929;0,5046626;0,009113382
0,3211387;1,063525;0,2652765;0,5794249;0,6334234;0,2454225;0,005411251
-2,980232E-08;0,9456967;0,001249999;0,7160619;0,002170713;0,9965319;0,0103397
0,3197324;0,9456968;0,1506454;0,559124;0,4251107;0,476983;0,005909503
0,4229923;0,9456968;0,2786987;0,07924142;0,4234826;0,3762641;0,007871613
0,3197324;0,9456968;0,3249401;0,5589232;0,4232113;0,5163022;0,0048821
2,980232E-08;0,9456967;0,9159002;0,7160619;0,3976316;1;0,007887063
-0,3197324;0,9456968;0,3249401;0,559124;0,4232113;0,5160844;0,005909503
-0,4229923;0,9456968;0,2786987;0,07924142;0,4234826;0,3762641;0,01022769
-0,3197323;0,9456968;0,1506454;0,5589232;0,4251107;0,4758751;0,008373728
-2,980232E-08;0,3556814;0,006000002;0,5423688;0,01302429;0,6832694;0,01130144
0,2395769;0,6653169;0,1827682;0,4537263;0,6347801;0,1572601;0,004179139
0,3096354;0,6653168;0,2786987;0,07330874;0,4234826;0,008177329;0,009561422
0,239577;0,6653169;0,2432743;0,4534018;0,6336947;0,1761964;0,006614395
2,980232E-08;0,6653168;0,3214742;0,5423765;0,4186973;0,6846054;0,009584596
-0,2395769;0,6653168;0,288455;0,4537263;0,4383075;0,1761847;0,004179139
-0,3096354;0,6653167;0,2786987;0,07330874;0,4234826;0,008177329;0,01122613
-0,239577;0,6653169;0,135279;0,4534018;0,4404783;0,156776;0,006506247
2,980232E-08;0,6653167;0,3214742;0,5409088;0,4186973;0,6835678;0,009476449
